Airline,Source,Destination,Departure,Arrival,Number of Stops,Stopover Details,Price,Class
Air India,Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,12:15 pm,4:45 pm+1,1 stop,", 3h 20m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 1,257",Economy
"Air Canada, Etihad Airways • Operated by Air Canada Express - Jazz",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,6:15 am,7:55 pm+1,2 stops,", 7h 42m layover, <b>Airport change LGA-JFK</b>, , 2h 00m layover, <b>Abu Dhabi Zayed Intl</b>",C$ 841,Basic Economy
"Air India, Vistara",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,12:15 pm,5:00 pm+1,1 stop,", 3h 20m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 1,283",Economy
Etihad Airways,Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,10:10 pm,3:00 am+2,1 stop,", 2h 25m layover, <b>Abu Dhabi Zayed Intl</b>","C$ 1,338",Economy Basic
Emirates,Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,2:30 pm,8:15 pm+1,1 stop,", 3h 50m layover, <b>Dubai Intl</b>","C$ 1,432",Eco Special
Air India,Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,12:15 pm,7:10 pm+1,1 stop,", 5h 35m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 1,257",Economy
"Qatar Airways • Operated by IndiGo Airlines, YX/ Republic Airways AS American Eagle/YX",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,7:23 am,3:15 pm+1,2 stops,", 2h 10m layover, <b>New York John F Kennedy Intl</b>, , 2h 00m layover, <b>Doha Hamad Intl</b>","C$ 1,002",Economy Lite
"Air Canada, Qatar Airways • Operated by IndiGo Airlines",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,7:45 am,3:15 pm+1,2 stops,", 2h 11m layover, <b>Boston Logan Intl</b>, , 2h 10m layover, <b>Doha Hamad Intl</b>","C$ 1,074",Basic Economy
"Air Canada, Emirates",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,10:35 pm,3:05 am+2,1 stop,", 2h 15m layover, <b>Dubai Intl</b>","C$ 1,896",Standard
"Air India, Vistara",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,12:15 pm,7:50 pm+1,1 stop,", 6h 10m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 1,283",Economy
American Airlines • Operated by British Airways,Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,9:55 pm,5:20 am+2,1 stop,", 4h 55m layover, <b>London Heathrow</b>","C$ 1,296",Main Cabin
British Airways,Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,9:55 pm,5:20 am+2,1 stop,", 4h 55m layover, <b>London Heathrow</b>","C$ 1,410",Basic Economy
"Air Canada, Etihad Airways • Operated by Air Canada Express - Jazz",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,6:45 pm,3:00 am+2,2 stops,", 1h 42m layover, <b>Washington, D.C. Dulles Intl</b>, , 2h 35m layover, <b>Abu Dhabi Zayed Intl</b>",C$ 858,Basic Economy
"Qatar Airways • Operated by PSA Airlines, American Airlines",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,5:59 pm,2:00 am+2,2 stops,", 1h 21m layover, <b>Philadelphia</b>, , 2h 50m layover, <b>Doha Hamad Intl</b>","C$ 1,465",Economy Lite
"Air Canada, Air India",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,10:35 pm,4:35 am+2,1 stop,", 3h 40m layover, <b>Dubai Intl</b>","C$ 1,925",Standard
"WestJet, Etihad Airways",Toronto Pearson Intl,Hyderabad Rajiv Gandhi Intl,11:15 am,7:55 pm+1,2 stops,", 2h 34m layover, <b>New York John F Kennedy Intl</b>, , 2h 00m layover, <b>Abu Dhabi Zayed Intl</b>",C$ 969,Basic
